Date,Open,High,Low,Close,Volume,log_return,vol_21d,vol_zscore
2015-01-02,7.344492271480969,7.710953807287721,7.344492271480969,7.588799476623535,2000,,,
2015-01-05,7.634610025147747,7.634610025147747,7.344494756820955,7.565898418426514,3000,-0.003022307113976908,,
2015-01-06,7.565898418426514,7.565898418426514,7.565898418426514,7.565898418426514,0,0.0,,
2015-01-07,7.863645859112515,8.008703081039387,7.703319072723389,7.703319072723389,3400,0.01800018433035603,,
2015-01-08,7.825472829586544,7.825472829586544,7.512454032897949,7.512454032897949,2600,-0.025089103297015813,,
2015-01-09,7.756759597967288,7.764394378727723,7.481914043426514,7.481914043426514,1800,-0.004073533682361493,,
2015-01-12,7.481914043426514,7.481914043426514,7.481914043426514,7.481914043426514,0,0.0,,
2015-01-13,7.481914043426514,7.481914043426514,7.481914043426514,7.481914043426514,0,0.0,,
2015-01-14,7.443742778458851,7.817838394633961,7.443742778458851,7.520089149475098,8600,0.005089345463649582,,
2015-01-15,7.581165955050913,7.581165955050913,7.497184801314451,7.520089149475098,900,0.0,,
2015-01-16,7.665147304534912,7.665147304534912,7.665147304534912,7.665147304534912,200,0.019105737077022227,,
2015-01-20,7.665147304534912,7.665147304534912,7.665147304534912,7.665147304534912,0,0.0,,
2015-01-21,7.680416584014893,7.680416584014893,7.680416584014893,7.680416584014893,600,0.001990058446879054,,
2015-01-22,8.191933334649802,8.191933334649802,7.52772258276681,7.710953712463379,21700,0.003968089641062284,,
2015-01-23,7.863647153560805,7.863647153560805,7.520089905628538,7.634608745574951,12600,-0.009950185531683631,,
2015-01-26,7.710952086595238,7.710952086595238,7.634605737978358,7.695682525634766,400,0.007967768137789929,,
2015-01-27,7.817840610459555,7.817840610459555,7.718590591244992,7.72622537612915,2000,0.003960974299933415,,
2015-01-28,7.863647330731599,7.863647330731599,7.5735321044921875,7.5735321044921875,1000,-0.01996088391370689,,
2015-01-29,7.802570322532036,7.802570322532036,7.558262348175049,7.558262348175049,400,-0.0020182353848462757,,
2015-01-30,7.489551032065844,7.55826189488705,7.489551032065844,7.504819869995117,600,-0.007095852183026411,,
2015-02-02,7.53535828567206,7.542993068695068,7.53535828567206,7.542993068695068,300,0.0050735985011798376,,-0.07246919865332745
2015-02-03,7.489551313653861,7.787300581352647,7.481916530355684,7.6193389892578125,3100,0.010070557153799387,0.16448571849230764,0.6508427294902981
2015-02-04,7.939992962751806,7.939992962751806,7.504820488551797,7.665147304534912,2000,0.005994110832619431,0.16522995250573505,0.5217751390732347
2015-02-05,7.733857154846191,7.733857154846191,7.733857154846191,7.733857154846191,100,0.008923993298770761,0.1676813208429114,-0.5321580673008596
2015-02-06,7.710953712463379,7.710953712463379,7.710953712463379,7.710953712463379,200,-0.0029658452108293066,0.15631391991469817,-0.2512118960876665
2015-02-09,7.710955315120954,7.978166190973968,7.64987850189209,7.64987850189209,2400,-0.007952112433119612,0.13077845533552193,0.6146198199669989
2015-02-10,7.6422404611231896,7.6422404611231896,7.069645035070672,7.420836925506592,14800,-0.030397921593139882,0.1693918561298586,1.1769793226256602
2015-02-11,7.466648250404557,7.497186660766602,7.443744624656308,7.497186660766602,2300,0.010235994258838043,0.17335394654793776,0.4776525191616746
2015-02-12,7.481914043426514,7.481914043426514,7.481914043426514,7.481914043426514,300,-0.002039190861191662,0.17351219074003912,-0.48567775799454294
2015-02-13,7.634610064378318,7.634610064378318,7.550629615783691,7.550629615783691,700,0.009142305191757736,0.1755659315291725,-0.0424930458745047
2015-02-17,7.550629615783691,7.550629615783691,7.550629615783691,7.550629615783691,0,0.0,0.1755659315291725,-2.472532703983404
2015-02-18,7.367398265588021,7.405571460723877,7.329225798545301,7.405571460723877,1500,-0.01939833558212855,0.1739628674274928,0.35257098562993616
2015-02-19,7.420837253528564,7.481914043426514,7.375029297058719,7.481914043426514,4200,0.010256030390370959,0.17874370240502863,0.7236914349077211
2015-02-20,7.604069237190251,7.604069237190251,7.47428084908626,7.512454032897949,800,0.004073533682361353,0.17934987758365406,-0.06565732736985534
2015-02-23,7.37503119016282,7.520089149475098,7.37503119016282,7.520089149475098,2800,0.0010158117812880379,0.1785984849687052,0.603277981382324
2015-02-24,7.38266671521842,7.787300774867845,7.34449352587194,7.634608745574951,900,0.015113699633279952,0.1841331071953909,0.10579614904222513
2015-02-25,7.741494006537027,7.741494006537027,7.558262832016505,7.596436023712158,300,-0.005012499453005277,0.18253923005868897,-0.46024684088135437
2015-02-26,7.726223944028035,7.75676234981103,7.466647130826063,7.558262348175049,3200,-0.005037877407824552,0.18235657141615025,0.757335758313398
2015-02-27,7.649876420221199,7.6727800369262695,7.649876420221199,7.6727800369262695,800,0.015037689983156084,0.17683615120195087,0.044683971068277234
2015-03-02,7.527722675337894,7.619337877266356,7.527722675337894,7.588799476623535,900,-0.01100559845625762,0.18121203731325572,0.0859171908968281
2015-03-03,7.588799476623535,7.588799476623535,7.588799476623535,7.588799476623535,0,0.0,0.17927307203364498,-2.629455405386208
2015-03-04,7.64987850189209,7.64987850189209,7.64987850189209,7.64987850189209,100,0.008016358432495336,0.18049848139027783,-0.6845006797345657
2015-03-05,7.794934605434948,7.794934605434948,7.581165790557861,7.581165790557861,1600,-0.009022779551537036,0.18008688544720644,0.46722616390854604
2015-03-06,7.649878783323302,7.649878783323302,7.4819171767182695,7.596436023712158,1000,0.0020122069999677803,0.17887448258604238,0.28816463821597754
2015-03-09,7.588800753958044,7.634608726679049,7.558262348175049,7.558262348175049,900,-0.005037877407824552,0.17619481310277726,0.20306808599873258
2015-03-10,7.542994640356235,7.558263481490689,7.497186660766602,7.497186660766602,2800,-0.008113477374907906,0.1777792250123155,0.6244619633091408
2015-03-11,7.527723645786896,7.634608425862449,7.527723645786896,7.535358428955078,11000,0.005078561215520081,0.17740177378677546,1.1362142343064707
2015-03-12,7.520089149475098,7.520089149475098,7.520089149475098,7.520089149475098,200,-0.0020284066130622134,0.14110633963088062,-0.42850344298036935
2015-03-13,7.596436832355994,7.604071617126465,7.5888020475855225,7.604071617126465,700,0.011105850056048885,0.14188230042692124,0.12599162121579616
2015-03-16,7.634607457523307,7.634607457523307,7.626972675323486,7.626972675323486,2900,0.0030071576203374154,0.14174318899006993,0.6799037818753817
