Date,Open,High,Low,Close,Volume,log_return,vol_21d,vol_zscore
2015-01-02,5.755449068098178,5.755449068098178,5.503305564205024,5.645821571350098,235300,,,
2015-01-05,5.640341076761629,5.656785073534864,5.399160540688342,5.437530040740967,203500,-0.03759080553282405,,
2015-01-06,5.464936356045351,5.5087873570315695,5.382715337137318,5.4320478439331055,1631400,-0.0010087231226239284,,
2015-01-07,5.4375278272683305,5.508785814605427,5.377232848480795,5.464934825897217,843900,0.0060359978186364455,,
2015-01-08,5.475898170254035,5.569081666555243,5.443010184938962,5.508786678314209,132700,0.007992199514193055,,
2015-01-09,5.519748670802058,5.656783150396906,5.4704161745087045,5.634857654571533,676600,0.022627490883356867,,
2015-01-12,5.656783748189351,5.810262757931235,5.591007253762162,5.6732282638549805,680700,0.006786428193997471,,
2015-01-13,5.678709457402523,5.7280419607428215,5.56908196261582,5.700634956359863,421300,0.004819250067982592,,
2015-01-14,5.662264942994226,5.722559928894043,5.580044460154013,5.722559928894043,454500,0.0038386808029292696,,
2015-01-15,5.810263141218622,5.837669623645716,5.7115981316966185,5.728042125701904,2293600,0.0009575386867169239,,
2015-01-16,5.656782921672836,5.793817395726887,5.656782921672836,5.744484901428223,141300,0.0028664629764810867,,
2015-01-20,5.689671702966138,5.744485181614254,5.541674212851601,5.6019697189331055,419400,-0.025121975534747393,,
2015-01-21,5.623896336168294,5.684191331525653,5.56908232384694,5.629377841949463,458800,0.00488065697811278,,
2015-01-22,5.684193499137044,5.799302550711465,5.6348609737843836,5.7170820236206055,404800,0.015459611098994647,,
2015-01-23,5.711598558423431,5.771893556111021,5.689673057196563,5.7390055656433105,491300,0.00382740942143697,,
2015-01-26,5.7773737913033925,5.799299287707492,5.717078806878386,5.766411304473877,841100,0.004763980474970086,,
2015-01-27,5.689672226814759,5.832188225362428,5.689672226814759,5.799299716949463,803600,0.0056872424119612875,,
2015-01-28,5.804804922339988,5.859826454112828,5.733276458779,5.760787487030029,1514500,-0.006662989944690152,,
2015-01-29,5.810305207138679,5.821309299764917,5.639737311235181,5.733274459838867,1721000,-0.004787355395400971,,
2015-01-30,5.6782492774693285,5.75527998210361,5.628729576256486,5.683751583099365,394600,-0.008675321777986933,,
2015-02-02,5.678252918259596,5.777292384187546,5.678252918259596,5.694759845733643,1705200,0.0019349220041015255,,1.3159897733933519
2015-02-03,5.694757920402241,5.9148449650231685,5.689255613104491,5.881831645965576,1145100,0.03232179112708876,0.22988804464706838,0.7503315042482315
2015-02-04,5.826810563229432,5.870827975296614,5.777290843471616,5.810304164886475,461600,-0.012235296365712408,0.18787845149272864,-0.4515633260812259
2015-02-05,5.799298398018773,5.87632911620589,5.771787389757028,5.826809406280518,402700,0.0028366574513048583,0.18727528312206468,-0.5600920061815398
2015-02-06,5.804802417755127,5.815806509470097,5.749780384993299,5.804802417755127,145000,-0.0037840008964414125,0.18857946741136894,-1.6912229473385028
2015-02-09,5.766286289357838,5.837814715909244,5.744277583090401,5.771788597106934,460000,-0.005703563355131658,0.18985863957928922,-0.35213855696431245
2015-02-10,5.832312655842807,5.832312655842807,5.722268605003985,5.755281925201416,61700,-0.0028639858074002776,0.17531444957611653,-2.442543894282851
2015-02-11,5.716770287121626,5.738779005682867,5.5896698456028435,5.606726169586182,137500,-0.02615105013831278,0.1973742266809139,-1.3758021495443835
