cell_type,ticker,latent_dim,dropout_rate,noise_std,val_mse,epochs_run
GRU,CIB,16,0.3,0.05,8.190644264221191,23
GRU,CIB,16,0.3,0.1,8.687727928161621,30
GRU,CIB,32,0.1,0.01,8.477246284484863,50
GRU,CIB,32,0.1,0.05,9.32598876953125,14
GRU,CIB,32,0.1,0.1,9.208772659301758,12
GRU,CIB,32,0.2,0.01,8.312400817871094,34
GRU,CIB,32,0.2,0.05,9.047807693481445,16
GRU,CIB,32,0.2,0.1,8.17065715789795,36
GRU,CIB,32,0.3,0.01,8.476743698120117,39
GRU,CIB,32,0.3,0.05,8.801586151123047,15
GRU,CIB,32,0.3,0.1,8.286683082580566,27
LSTM,AVAL,8,0.1,0.01,5.681275844573975,26
LSTM,AVAL,8,0.1,0.05,5.449926853179932,36
LSTM,AVAL,8,0.1,0.1,5.447934627532959,21
LSTM,AVAL,8,0.2,0.01,5.657610893249512,22
LSTM,AVAL,8,0.2,0.05,5.333601951599121,40
LSTM,AVAL,8,0.2,0.1,5.7151336669921875,22
LSTM,AVAL,8,0.3,0.01,5.3123674392700195,32
LSTM,AVAL,8,0.3,0.05,5.389801025390625,38
LSTM,AVAL,8,0.3,0.1,5.462989330291748,38
LSTM,AVAL,16,0.1,0.01,5.2705888748168945,26
LSTM,AVAL,16,0.1,0.05,5.736146450042725,30
LSTM,AVAL,16,0.1,0.1,5.424005031585693,25
LSTM,AVAL,16,0.2,0.01,5.368014335632324,21
LSTM,AVAL,16,0.2,0.05,5.388364315032959,22
LSTM,AVAL,16,0.2,0.1,5.690223217010498,16
LSTM,AVAL,16,0.3,0.01,5.392455577850342,35
LSTM,AVAL,16,0.3,0.05,5.636382102966309,15
LSTM,AVAL,16,0.3,0.1,5.457035541534424,30
LSTM,AVAL,32,0.1,0.01,5.5374860763549805,26
LSTM,AVAL,32,0.1,0.05,5.7120041847229,24
LSTM,AVAL,32,0.1,0.1,5.321259021759033,24
LSTM,AVAL,32,0.2,0.01,6.043402194976807,16
LSTM,AVAL,32,0.2,0.05,5.504336357116699,26
LSTM,AVAL,32,0.2,0.1,5.4022932052612305,26
LSTM,AVAL,32,0.3,0.01,5.481727123260498,26
LSTM,AVAL,32,0.3,0.05,5.5877366065979,22
LSTM,AVAL,32,0.3,0.1,5.516222953796387,39
GRU,AVAL,8,0.1,0.01,5.233222484588623,20
GRU,AVAL,8,0.1,0.05,4.9890642166137695,38
GRU,AVAL,8,0.1,0.1,5.248404502868652,40
GRU,AVAL,8,0.2,0.01,5.3592023849487305,24
GRU,AVAL,8,0.2,0.05,5.160862922668457,17
GRU,AVAL,8,0.2,0.1,5.386768817901611,20
GRU,AVAL,8,0.3,0.01,5.522518634796143,36
GRU,AVAL,8,0.3,0.05,5.131695747375488,43
GRU,AVAL,8,0.3,0.1,5.615542888641357,21
GRU,AVAL,16,0.1,0.01,5.3091840744018555,22
GRU,AVAL,16,0.1,0.05,5.138579368591309,26
GRU,AVAL,16,0.1,0.1,5.389403343200684,40
GRU,AVAL,16,0.2,0.01,5.450695037841797,27
GRU,AVAL,16,0.2,0.05,5.234012126922607,26
GRU,AVAL,16,0.2,0.1,5.660405158996582,15
GRU,AVAL,16,0.3,0.01,5.329339504241943,19
GRU,AVAL,16,0.3,0.05,5.1444573402404785,48
GRU,AVAL,16,0.3,0.1,5.304307460784912,24
GRU,AVAL,32,0.1,0.01,5.105324745178223,33
GRU,AVAL,32,0.1,0.05,5.046874523162842,31
GRU,AVAL,32,0.1,0.1,5.369750022888184,30
GRU,AVAL,32,0.2,0.01,5.692322731018066,18
GRU,AVAL,32,0.2,0.05,5.314582824707031,32
GRU,AVAL,32,0.2,0.1,5.226956844329834,24
GRU,AVAL,32,0.3,0.01,5.245744228363037,31
GRU,AVAL,32,0.3,0.05,5.178150177001953,50
GRU,AVAL,32,0.3,0.1,5.439430236816406,21
LSTM,TGLS,8,0.1,0.01,4.527290344238281,21
LSTM,TGLS,8,0.1,0.05,4.681511402130127,27
LSTM,TGLS,8,0.1,0.1,4.644259452819824,34
LSTM,TGLS,8,0.2,0.01,4.542905330657959,18
LSTM,TGLS,8,0.2,0.05,4.5175323486328125,28
LSTM,TGLS,8,0.2,0.1,4.560705184936523,18
LSTM,TGLS,8,0.3,0.01,4.49524450302124,38
LSTM,TGLS,8,0.3,0.05,4.721122741699219,26
LSTM,TGLS,8,0.3,0.1,4.438605308532715,28
LSTM,TGLS,16,0.1,0.01,4.50101375579834,28
LSTM,TGLS,16,0.1,0.05,4.584967136383057,27
LSTM,TGLS,16,0.1,0.1,4.539453983306885,17
LSTM,TGLS,16,0.2,0.01,4.471846580505371,17
LSTM,TGLS,16,0.2,0.05,4.413999080657959,24
LSTM,TGLS,16,0.2,0.1,4.487161159515381,30
LSTM,TGLS,16,0.3,0.01,4.552381992340088,23
LSTM,TGLS,16,0.3,0.05,4.4738969802856445,26
LSTM,TGLS,16,0.3,0.1,4.532439708709717,19
LSTM,TGLS,32,0.1,0.01,4.4528656005859375,22
LSTM,TGLS,32,0.1,0.05,4.729945182800293,25
LSTM,TGLS,32,0.1,0.1,4.474931240081787,19
LSTM,TGLS,32,0.2,0.01,4.432995319366455,19
LSTM,TGLS,32,0.2,0.05,4.523588180541992,16
LSTM,TGLS,32,0.2,0.1,4.530852794647217,18
LSTM,TGLS,32,0.3,0.01,4.403807163238525,15
LSTM,TGLS,32,0.3,0.05,4.582171440124512,17
LSTM,TGLS,32,0.3,0.1,4.422201156616211,20
GRU,TGLS,8,0.1,0.01,4.570982456207275,32
GRU,TGLS,8,0.1,0.05,4.478167533874512,31
GRU,TGLS,8,0.1,0.1,4.288117408752441,28
GRU,TGLS,8,0.2,0.01,4.53261661529541,42
GRU,TGLS,8,0.2,0.05,4.9877519607543945,14
GRU,TGLS,8,0.2,0.1,4.465905666351318,24
GRU,TGLS,8,0.3,0.01,4.251719951629639,45
GRU,TGLS,8,0.3,0.05,4.490566253662109,32
GRU,TGLS,8,0.3,0.1,4.547012805938721,28
GRU,TGLS,16,0.1,0.01,4.5630269050598145,45
GRU,TGLS,16,0.1,0.05,4.529988765716553,26
GRU,TGLS,16,0.1,0.1,4.552533149719238,33
GRU,TGLS,16,0.2,0.01,4.522216320037842,25
GRU,TGLS,16,0.2,0.05,4.494940280914307,34
GRU,TGLS,16,0.2,0.1,4.62067174911499,21
GRU,TGLS,16,0.3,0.01,4.351149559020996,25
GRU,TGLS,16,0.3,0.05,4.497576713562012,45
GRU,TGLS,16,0.3,0.1,4.370545387268066,28
GRU,TGLS,32,0.1,0.01,4.459710597991943,23
GRU,TGLS,32,0.1,0.05,4.413628101348877,36
GRU,TGLS,32,0.1,0.1,4.592215061187744,28
GRU,TGLS,32,0.2,0.01,4.42636775970459,34
GRU,TGLS,32,0.2,0.05,4.4254374504089355,32
GRU,TGLS,32,0.2,0.1,4.48510217666626,50
GRU,TGLS,32,0.3,0.01,4.617056846618652,28
GRU,TGLS,32,0.3,0.05,4.352470397949219,31
GRU,TGLS,32,0.3,0.1,4.472681522369385,40
